,Category
0,1880.0
1,1881.0
2,1882.0
3,1883.0
4,1884.0
5,1885.0
6,1886.0
7,1887.0
8,1888.0
9,1889.0
10,1890.0
11,1891.0
12,1892.0
13,1893.0
14,1894.0
15,1895.0
16,1896.0
17,1897.0
18,1898.0
19,1899.0
20,1900.0
21,1901.0
22,1902.0
23,1903.0
24,1904.0
25,1905.0
26,1906.0
27,1907.0
28,1908.0
29,1909.0
30,1910.0
31,1911.0
32,1912.0
33,1913.0
34,1914.0
35,1915.0
36,1916.0
37,1917.0
38,1918.0
39,1919.0
40,1920.0
41,1921.0
42,1922.0
43,1923.0
44,1924.0
45,1925.0
46,1926.0
47,1927.0
48,1928.0
49,1929.0
50,1930.0
51,1931.0
52,1932.0
53,1933.0
54,1934.0
55,1935.0
56,1936.0
57,1937.0
58,1938.0
59,1939.0
60,1940.0
61,1941.0
62,1942.0
63,1943.0
64,1944.0
65,1945.0
66,1946.0
67,1947.0
68,1948.0
69,1949.0
70,1950.0
71,1951.0
72,1952.0
73,1953.0
74,1954.0
75,1955.0
76,1956.0
77,1957.0
78,1958.0
79,1959.0
80,1960.0
81,1961.0
82,1962.0
83,1963.0
84,1964.0
85,1965.0
86,1966.0
87,1967.0
88,1968.0
89,1969.0
90,1970.0
91,1971.0
92,1972.0
93,1973.0
94,1974.0
95,1975.0
96,1976.0
97,1977.0
98,1978.0
99,1979.0
100,1980.0
101,1981.0
102,1982.0
103,1983.0
104,1984.0
105,1985.0
106,1986.0
107,1987.0
108,1988.0
109,1989.0
110,1990.0
111,1991.0
112,1992.0
113,1993.0
114,1994.0
115,1995.0
116,1996.0
117,1997.0
118,1998.0
119,1999.0
120,2000.0
121,2001.0
122,2002.0
123,2003.0
124,2004.0
125,2005.0
126,2006.0
127,2007.0
128,2008.0
129,2009.0
130,2010.0
131,2011.0
132,2012.0
133,2013.0
134,2014.0
135,2015.0
136,2016.0
137,2017.0
138,2018.0
139,2019.0
140,2020.0
141,2021.0
142,2022.0
