,Category,NASA Goddard Institute for Space Studies
0,1880.0,-0.17
1,1881.0,-0.09
2,1882.0,-0.11
3,1883.0,-0.18
4,1884.0,-0.28
5,1885.0,-0.33
6,1886.0,-0.31
7,1887.0,-0.36
8,1888.0,-0.17
9,1889.0,-0.1
10,1890.0,-0.35
11,1891.0,-0.23
12,1892.0,-0.27
13,1893.0,-0.31
14,1894.0,-0.3
15,1895.0,-0.22
16,1896.0,-0.11
17,1897.0,-0.1
18,1898.0,-0.27
19,1899.0,-0.17
20,1900.0,-0.08
21,1901.0,-0.15
22,1902.0,-0.27
23,1903.0,-0.37
24,1904.0,-0.47
25,1905.0,-0.26
26,1906.0,-0.22
27,1907.0,-0.38
28,1908.0,-0.43
29,1909.0,-0.48
30,1910.0,-0.43
31,1911.0,-0.44
32,1912.0,-0.36
33,1913.0,-0.34
34,1914.0,-0.15
35,1915.0,-0.14
36,1916.0,-0.36
37,1917.0,-0.46
38,1918.0,-0.29
39,1919.0,-0.28
40,1920.0,-0.27
41,1921.0,-0.19
42,1922.0,-0.28
43,1923.0,-0.26
44,1924.0,-0.27
45,1925.0,-0.22
46,1926.0,-0.11
47,1927.0,-0.22
48,1928.0,-0.2
49,1929.0,-0.36
50,1930.0,-0.16
51,1931.0,-0.09
52,1932.0,-0.15
53,1933.0,-0.28
54,1934.0,-0.12
55,1935.0,-0.19
56,1936.0,-0.14
57,1937.0,-0.02
58,1938.0,0.0
59,1939.0,-0.01
60,1940.0,0.13
61,1941.0,0.19
62,1942.0,0.07
63,1943.0,0.09
64,1944.0,0.21
65,1945.0,0.09
66,1946.0,-0.07
67,1947.0,-0.02
68,1948.0,-0.1
69,1949.0,-0.11
70,1950.0,-0.17
71,1951.0,-0.07
72,1952.0,0.01
73,1953.0,0.08
74,1954.0,-0.13
75,1955.0,-0.14
76,1956.0,-0.19
77,1957.0,0.05
78,1958.0,0.06
79,1959.0,0.03
80,1960.0,-0.03
81,1961.0,0.06
82,1962.0,0.03
83,1963.0,0.05
84,1964.0,-0.2
85,1965.0,-0.11
86,1966.0,-0.06
87,1967.0,-0.02
88,1968.0,-0.08
89,1969.0,0.05
90,1970.0,0.03
91,1971.0,-0.08
92,1972.0,0.01
93,1973.0,0.16
94,1974.0,-0.07
95,1975.0,-0.01
96,1976.0,-0.1
97,1977.0,0.18
98,1978.0,0.07
99,1979.0,0.17
100,1980.0,0.26
101,1981.0,0.32
102,1982.0,0.14
103,1983.0,0.31
104,1984.0,0.16
105,1985.0,0.12
106,1986.0,0.18
107,1987.0,0.32
108,1988.0,0.39
109,1989.0,0.27
110,1990.0,0.45
111,1991.0,0.4
112,1992.0,0.22
113,1993.0,0.23
114,1994.0,0.31
115,1995.0,0.45
116,1996.0,0.33
117,1997.0,0.46
118,1998.0,0.61
119,1999.0,0.38
120,2000.0,0.39
121,2001.0,0.54
122,2002.0,0.63
123,2003.0,0.62
124,2004.0,0.53
125,2005.0,0.68
126,2006.0,0.64
127,2007.0,0.66
128,2008.0,0.54
129,2009.0,0.66
130,2010.0,0.72
131,2011.0,0.61
132,2012.0,0.65
133,2013.0,0.68
134,2014.0,0.75
135,2015.0,0.9
136,2016.0,1.02
137,2017.0,0.92
138,2018.0,0.85
139,2019.0,0.98
140,2020.0,1.02
141,2021.0,0.85
142,2022.0,0.9
