,Category,NOAA National Climatic Data Center
0,1880.0,-0.2
1,1881.0,-0.16
2,1882.0,-0.16
3,1883.0,-0.25
4,1884.0,-0.34
5,1885.0,-0.36
6,1886.0,-0.29
7,1887.0,-0.34
8,1888.0,-0.2
9,1889.0,-0.11
10,1890.0,-0.31
11,1891.0,-0.22
12,1892.0,-0.29
13,1893.0,-0.35
14,1894.0,-0.26
15,1895.0,-0.22
16,1896.0,-0.09
17,1897.0,-0.1
18,1898.0,-0.26
19,1899.0,-0.19
20,1900.0,-0.12
21,1901.0,-0.17
22,1902.0,-0.26
23,1903.0,-0.35
24,1904.0,-0.46
25,1905.0,-0.28
26,1906.0,-0.24
27,1907.0,-0.36
28,1908.0,-0.43
29,1909.0,-0.47
30,1910.0,-0.43
31,1911.0,-0.44
32,1912.0,-0.36
33,1913.0,-0.36
34,1914.0,-0.18
35,1915.0,-0.13
36,1916.0,-0.35
37,1917.0,-0.47
38,1918.0,-0.32
39,1919.0,-0.27
40,1920.0,-0.28
41,1921.0,-0.21
42,1922.0,-0.28
43,1923.0,-0.27
44,1924.0,-0.26
45,1925.0,-0.23
46,1926.0,-0.12
47,1927.0,-0.21
48,1928.0,-0.2
49,1929.0,-0.34
50,1930.0,-0.14
51,1931.0,-0.09
52,1932.0,-0.16
53,1933.0,-0.28
54,1934.0,-0.14
55,1935.0,-0.19
56,1936.0,-0.15
57,1937.0,-0.02
58,1938.0,-0.01
59,1939.0,-0.02
60,1940.0,0.13
61,1941.0,0.19
62,1942.0,0.06
63,1943.0,0.07
64,1944.0,0.21
65,1945.0,0.11
66,1946.0,-0.07
67,1947.0,-0.04
68,1948.0,-0.09
69,1949.0,-0.09
70,1950.0,-0.15
71,1951.0,-0.04
72,1952.0,0.02
73,1953.0,0.1
74,1954.0,-0.1
75,1955.0,-0.16
76,1956.0,-0.2
77,1957.0,0.03
78,1958.0,0.05
79,1959.0,0.04
80,1960.0,0.0
81,1961.0,0.04
82,1962.0,0.02
83,1963.0,0.05
84,1964.0,-0.18
85,1965.0,-0.09
86,1966.0,-0.05
87,1967.0,-0.02
88,1968.0,-0.09
89,1969.0,0.06
90,1970.0,0.02
91,1971.0,-0.08
92,1972.0,0.0
93,1973.0,0.17
94,1974.0,-0.08
95,1975.0,-0.02
96,1976.0,-0.06
97,1977.0,0.18
98,1978.0,0.08
99,1979.0,0.19
100,1980.0,0.26
101,1981.0,0.32
102,1982.0,0.16
103,1983.0,0.32
104,1984.0,0.17
105,1985.0,0.14
106,1986.0,0.19
107,1987.0,0.31
108,1988.0,0.39
109,1989.0,0.28
110,1990.0,0.42
111,1991.0,0.39
112,1992.0,0.2
113,1993.0,0.24
114,1994.0,0.29
115,1995.0,0.45
116,1996.0,0.33
117,1997.0,0.47
118,1998.0,0.6
119,1999.0,0.39
120,2000.0,0.4
121,2001.0,0.52
122,2002.0,0.59
123,2003.0,0.6
124,2004.0,0.52
125,2005.0,0.67
126,2006.0,0.63
127,2007.0,0.63
128,2008.0,0.52
129,2009.0,0.63
130,2010.0,0.7
131,2011.0,0.6
132,2012.0,0.63
133,2013.0,0.65
134,2014.0,0.74
135,2015.0,0.89
136,2016.0,1.0
137,2017.0,0.92
138,2018.0,0.83
139,2019.0,0.95
140,2020.0,0.98
141,2021.0,0.83
142,2022.0,0.88
